Word,Plays,AvgScorePerPlay,AvgScorePerGame,WinRate
AI,6788941,32.50,4.43826861,0.4672
OP,6242488,34.57,4.34117734,0.4781
HI,6076088,34.78,4.25018395,0.4756
SI,4964316,42.13,4.20634947,0.4875
ST,4638211,44.22,4.12503887,0.4944
OB,6082709,33.42,4.08877677,0.4767
AS,4492312,45.14,4.07883895,0.4991
OI,6593989,30.35,4.02597851,0.4659
MI,5644037,35.17,3.99307487,0.4731
XU,5089067,39.00,3.99172395,0.5083
UG,6352992,30.83,3.93926034,0.4709
PA,5388412,36.09,3.91197241,0.4761
NU,5919568,32.28,3.84339902,0.4700
YA,5227096,36.50,3.83718145,0.4866
BA,5353464,35.28,3.79850557,0.4772
KI,5143693,36.39,3.76439170,0.4848
AY,5064739,36.61,3.72920349,0.4855
AA,5392548,33.97,3.68418744,0.4751
AH,4934238,37.04,3.67640627,0.4836
AM,4884657,37.37,3.67152847,0.4795
HA,4839368,36.97,3.59835148,0.4815
OS,4185521,42.04,3.53889457,0.4935
GU,5463702,30.79,3.38371244,0.4716
OK,4606941,35.91,3.32711805,0.4882
SO,4033789,40.98,3.32514103,0.4930
BO,4928828,33.47,3.31860082,0.4759
OM,4605062,35.26,3.26616907,0.4782
PO,4697739,34.47,3.25750864,0.4758
UP,4964672,32.16,3.21124360,0.4739
CH,4141453,38.25,3.18620392,0.4928
MA,4273159,36.92,3.17356422,0.4784
YO,4667569,33.74,3.16754658,0.4840
OY,4564943,34.31,3.15015293,0.4839
HO,4438243,34.91,3.11685456,0.4784
KA,4129923,37.41,3.10738018,0.4855
OU,5385094,28.39,3.07508537,0.4667
OO,5096805,29.31,3.00477583,0.4670
QAT,4790523,31.04,2.99112488,0.4654
FY,4087852,36.16,2.97316381,0.5005
OH,4240244,34.68,2.95766127,0.4815
YU,4466993,32.33,2.90462097,0.4826
MO,4026692,35.08,2.84104295,0.4756
UH,4141094,32.67,2.72079305,0.4809
US,3329137,40.58,2.71761742,0.4898
KO,3709923,36.00,2.68665891,0.4878
UM,3729117,33.29,2.49725705,0.4749
QIS,3120456,38.88,2.44015877,0.4866
BY,3329893,36.09,2.41701327,0.4946
SH,2767189,42.97,2.39164119,0.5017
MU,3168006,32.87,2.09438631,0.4743
MY,2712695,37.24,2.03169124,0.4944
HM,2600006,36.01,1.88319174,0.4900
EWE,2248477,39.58,1.78996683,0.5033
AXE,2082869,40.86,1.71200426,0.4982
EXO,2186085,37.90,1.66641028,0.4985
IDE,2234020,36.84,1.65531777,0.4957
AZO,1938764,40.60,1.58336419,0.5033
KY,1940827,38.16,1.48980701,0.5025
OWE,1979195,35.38,1.40826722,0.4936
AWE,1820792,38.03,1.39289378,0.5025
QINS,1435459,44.45,1.28348864,0.5038
OXO,1698477,36.91,1.26093963,0.4974
ZEE,1432406,40.01,1.15277386,0.5005
ENE,1536947,36.38,1.12463424,0.4955
ATE,1506260,36.90,1.11795490,0.4995
JOE,1531792,35.68,1.09944037,0.4934
ODE,1532645,35.38,1.09058172,0.4966
ITA,1542851,34.70,1.07670288,0.4925
ZEA,1290605,39.97,1.03762512,0.5030
ADO,1499860,33.98,1.02502916,0.4930
ZED,1186610,42.56,1.01580808,0.5139
ERE,1344793,37.49,1.01410166,0.4981
ARE,1317865,37.28,0.98823563,0.5001
ODA,1423460,34.30,0.98213553,0.4955
OBE,1396515,34.73,0.97544466,0.4966
ONE,1412572,34.29,0.97424819,0.4916
ZEN,1204432,40.16,0.97287303,0.5032
QADI,1309385,36.34,0.95699371,0.4763
ZAG,1218942,39.01,0.95639174,0.5102
ETA,1296782,36.59,0.95437227,0.4993
ORE,1343002,35.22,0.95147733,0.4961
AHI,1351928,34.46,0.93708871,0.4878
OYE,1375647,33.82,0.93565177,0.4875
QATS,1022090,44.22,0.90916668,0.5033
JAI,1320935,33.87,0.89990704,0.4831
OBI,1358023,32.90,0.89874627,0.4891
OPE,1209103,35.19,0.85580917,0.4949
ZEX,804940,51.60,0.83550491,0.5587
ZEL,1020774,40.57,0.83295099,0.5080
EME,1066828,38.56,0.82740551,0.4999
AYE,1105621,36.77,0.81778742,0.4961
WEX,994641,40.66,0.81347677,0.5185
AGO,1199118,33.33,0.80391415,0.4961
ANE,1103495,36.02,0.79951637,0.4994
ABA,1111254,35.72,0.79842940,0.4975
JOR,1056757,37.05,0.78760353,0.4981
JAR,1030913,37.72,0.78221524,0.4910
ZAX,757064,51.04,0.77723898,0.5614
ZOA,953032,40.09,0.76854323,0.5061
URE,1109521,34.34,0.76626106,0.4935
JAW,1027729,36.81,0.76087089,0.5098
WOX,933118,40.06,0.75178379,0.5247
ONO,1183522,31.14,0.74134910,0.4858
JOW,1002859,36.21,0.73041038,0.5090
AMI,1008335,35.43,0.71854491,0.4938
UTE,1081967,32.85,0.71482442,0.4895
ZOO,928265,38.14,0.71219856,0.5031
MM,1016727,34.82,0.71209037,0.4851
EMO,990769,35.32,0.70389943,0.4945
OPA,1004751,34.28,0.69270233,0.4955
AWA,1012057,33.82,0.68848323,0.4883
AHA,947813,35.73,0.68125048,0.4958
NYE,885388,38.01,0.67683566,0.4979
OKA,943446,35.27,0.66937784,0.4962
ANA,956249,34.74,0.66826198,0.4960
QAID,933895,35.57,0.66814631,0.4754
FEW,1004605,32.76,0.66189330,0.4953
XIS,700981,46.08,0.64966470,0.5237
AYU,1037181,31.09,0.64865953,0.4817
ALA,903707,35.47,0.64474148,0.4982
DZO,791806,40.39,0.64320645,0.5116
REX,815526,38.91,0.63829317,0.4997
AME,831963,37.84,0.63318725,0.5023
HEX,735667,42.68,0.63149156,0.5248
FEZ,650708,48.23,0.63125822,0.5526
GOX,844753,37.09,0.63014268,0.5136
WOF,949361,32.93,0.62873854,0.4973
ZAP,753918,41.38,0.62747121,0.5153
ZEP,741985,42.02,0.62711286,0.5124
YEX,718834,42.90,0.62026559,0.5291
OMA,892944,34.44,0.61863038,0.4946
JOT,888372,34.37,0.61410969,0.4849
TEX,782535,38.92,0.61257666,0.5000
VOX,856864,35.26,0.60765304,0.5095
OBA,883179,33.81,0.60053469,0.4956
DEX,746330,39.87,0.59853401,0.5114
ZOL,756210,38.93,0.59216513,0.5034
VEX,812187,36.10,0.58977434,0.5037
OHO,903203,32.33,0.58730366,0.4886
WOE,879836,32.91,0.58239725,0.4850
JET,825415,35.03,0.58157802,0.4941
EFT,800136,36.02,0.57966505,0.4869
CINQ,867669,33.19,0.57916798,0.4607
AGE,767708,37.37,0.57702960,0.4988
JAG,828668,34.54,0.57568600,0.4975
OFT,800566,35.66,0.57414930,0.4897
QUA,828283,33.81,0.56335154,0.4839
REZ,576476,48.49,0.56225207,0.5401
OBO,859391,32.33,0.55877882,0.4906
FAX,680400,40.69,0.55690447,0.5282
VAX,773954,35.57,0.55375883,0.5061
NOX,711865,38.30,0.54845401,0.5074
JAY,701938,38.74,0.54693047,0.5197
ONY,814315,33.29,0.54530996,0.4950
ABY,744540,36.28,0.54328150,0.4999
UPO,851490,31.46,0.53878793,0.4878
ADZ,580126,46.10,0.53791211,0.5389
TIZ,590058,45.27,0.53724558,0.5257
BEZ,545315,48.91,0.53645996,0.5487
JOG,815849,32.60,0.53494629,0.4959
XED,601082,44.23,0.53474634,0.5251
ZAS,549759,48.10,0.53183565,0.5300
EGO,785093,33.56,0.53001796,0.4886
JOY,688495,38.23,0.52937466,0.5198
WEE,763593,34.44,0.52900650,0.4866
UTA,797915,32.83,0.52694234,0.4912
GIF,862545,30.31,0.52583431,0.4845
WAX,655818,39.45,0.52034096,0.5163
EWT,712282,36.06,0.51656857,0.4877
ERA,725738,35.39,0.51655747,0.4959
JAM,679042,37.78,0.51600215,0.5073
TAX,680261,37.61,0.51458127,0.4985
IRE,860048,29.70,0.51385964,0.4726
JOB,717624,35.53,0.51288100,0.5049
DIF,790332,32.14,0.51091160,0.4930
IFS,501380,50.60,0.51032059,0.5409
JAB,688654,36.62,0.50726036,0.5067
NEF,777377,32.23,0.50402708,0.4841
UME,717069,34.94,0.50400767,0.4939
APE,707114,35.43,0.50387003,0.4950
DOX,634377,39.31,0.50160085,0.5159
ORA,740347,33.55,0.49966365,0.4904
EEW,759112,32.62,0.49812592,0.4853
TAJ,681644,36.28,0.49743857,0.4993
TIX,619400,39.92,0.49736808,0.5068
UNI,855977,28.88,0.49722953,0.4699
OKE,657212,37.52,0.49594589,0.4939
EUOI,1581704,15.46,0.49197644,0.4066
FOX,614884,39.76,0.49168397,0.5241
YEZ,489807,49.79,0.49047760,0.5528
HOX,578857,42.08,0.48999302,0.5283
ANY,698497,34.83,0.48938265,0.4972
WEN,714294,33.90,0.48708889,0.4855
FAW,730571,33.14,0.48701529,0.4976
JEE,697843,34.61,0.48579597,0.4948
ZEK,518434,46.35,0.48335739,0.5376
ION,760805,31.46,0.48148409,0.4793
WOO,878435,27.11,0.47908519,0.4659
FEE,756938,31.44,0.47862024,0.4792
WET,690283,34.38,0.47730118,0.4875
SUQ,650460,36.47,0.47718522,0.4864
JIN,713771,33.17,0.47627555,0.4907
ZIN,528952,44.76,0.47624745,0.5261
FEH,685943,34.32,0.47349969,0.4999
DOF,725487,32.44,0.47331182,0.4947
IWI,1086860,21.50,0.46997701,0.4448
OXY,562268,41.51,0.46940230,0.5246
JOL,692620,33.60,0.46808386,0.4891
EYE,701216,33.09,0.46670928,0.4854
ZIT,504879,45.95,0.46663679,0.5276
TRANQ,632795,36.41,0.46344464,0.4583
VOW,834094,27.26,0.45728054,0.4830
RAX,621560,36.56,0.45702739,0.4913
REF,660101,34.17,0.45370595,0.4884
REE,632251,35.63,0.45315019,0.4942
YOU,849955,26.50,0.45305129,0.4691
WED,641103,35.08,0.45236372,0.4958
VAW,803089,27.94,0.45135909,0.4841
YAE,674759,33.25,0.45130271,0.4852
AMA,618758,36.25,0.45120657,0.4994
TEF,681863,32.84,0.45036223,0.4857
ISO,677796,32.79,0.44704063,0.4869
AJI,671158,32.81,0.44288932,0.4829
BOX,561491,39.01,0.44061553,0.5194
JAP,586885,37.19,0.43903306,0.5016
OOF,763204,28.57,0.43855178,0.4743
EMU,656083,33.23,0.43849365,0.4885
AIA,1062403,20.43,0.43657881,0.4349
AGA,635139,33.84,0.43234187,0.4939
LOX,572069,37.57,0.43228294,0.5098
FER,601295,35.43,0.42852632,0.4933
EEN,649501,32.66,0.42670343,0.4812
JIZ,471440,44.88,0.42553129,0.5410
BYE,587676,35.87,0.42403665,0.4930
AVOW,583849,36.10,0.42391316,0.4957
NEE,611947,34.36,0.42298219,0.4869
DEF,623567,33.50,0.42014547,0.4938
EEL,637349,32.67,0.41880567,0.4835
TOE,620292,33.33,0.41585069,0.4880
BIZ,451773,45.68,0.41508182,0.5379
WON,607819,33.87,0.41409433,0.4891
EAR,563333,36.46,0.41310654,0.4913
FEN,623196,32.80,0.41115989,0.4864
GIO,753497,26.89,0.40754990,0.4725
REW,598145,33.71,0.40554909,0.4905
NEW,616180,32.71,0.40534615,0.4863
ALE,540483,37.22,0.40460437,0.4977
TEE,613505,32.65,0.40285740,0.4847
TEW,605371,32.76,0.39895639,0.4868
LAX,525800,37.57,0.39730422,0.5047
FAE,602745,32.72,0.39663630,0.4869
REH,562863,34.92,0.39538270,0.4900
ZEDA,449027,43.76,0.39519484,0.5109
TWO,567724,34.50,0.39390926,0.4874
KEX,463486,42.21,0.39346252,0.5305
ZOS,390431,49.84,0.39136078,0.5396
FAA,641100,30.29,0.39055380,0.4816
BEE,620297,31.08,0.38771199,0.4771
GIE,654550,29.37,0.38662277,0.4726
CHE,495721,38.77,0.38658053,0.4980
PAX,477309,39.82,0.38232533,0.5169
WAZ,402996,47.11,0.38185859,0.5500
YOW,559755,33.83,0.38090009,0.4999
WEM,547999,34.53,0.38058665,0.4948
APO,561438,33.60,0.37939612,0.4896
FED,544987,34.56,0.37883641,0.4972
PEW,557308,33.62,0.37685037,0.4928
RET,531879,35.22,0.37683009,0.4920
WEB,593389,31.46,0.37550936,0.4862
HAJ,462686,40.30,0.37505630,0.5219
EAT,524584,35.31,0.37257753,0.4895
HIE,604456,30.64,0.37250182,0.4711
ANI,579322,31.80,0.37055321,0.4754
POZ,381496,48.27,0.37040449,0.5502
RIF,582753,31.39,0.36792669,0.4740
FAB,587130,31.15,0.36780957,0.4957
RED,501227,36.37,0.36664578,0.4955
HER,505655,35.95,0.36567688,0.4928
DEW,536885,33.69,0.36384672,0.4947
REN,550882,32.64,0.36164371,0.4840
FET,532913,33.70,0.36125520,0.4865
HOI,583979,30.66,0.36011068,0.4779
HEW,510995,35.03,0.36001745,0.4987
FEM,537901,33.27,0.35994703,0.4946
TEA,507812,35.23,0.35979057,0.4933
GIT,568016,31.47,0.35949286,0.4833
GID,546282,32.70,0.35929134,0.4919
EST,480437,37.11,0.35859349,0.4953
POX,442342,39.89,0.35486711,0.5184
NAE,504015,34.99,0.35469081,0.4910
BIN,535078,32.94,0.35455281,0.4863
WEXE,433825,40.51,0.35347720,0.4977
ZIG,426162,41.23,0.35340222,0.5194
FAH,505103,34.74,0.35294326,0.5023
NET,524406,33.46,0.35288046,0.4883
YEA,519396,33.77,0.35282129,0.4904
OUR,547125,32.06,0.35279850,0.4861
LEX,494965,35.19,0.35031362,0.4865
AJEE,493050,35.30,0.35008714,0.4845
HOE,550596,31.59,0.34987037,0.4807
JIAO,493850,35.01,0.34780563,0.4805
NIX,465765,37.01,0.34673042,0.4919
LIE,515403,33.33,0.34550141,0.4880
PIX,419802,40.87,0.34513521,0.5200
NED,491140,34.93,0.34511126,0.4930
EXON,443371,38.57,0.34397809,0.4942
DEE,498597,34.28,0.34374205,0.4890
TIE,568270,30.06,0.34362985,0.4777
NOR,510640,33.43,0.34340237,0.4871
MAX,419081,40.60,0.34224542,0.5185
WUZ,446129,38.10,0.34184049,0.5233
FEG,595516,28.50,0.34141776,0.4815
AQUA,470895,36.04,0.34138592,0.4839
YER,468548,36.22,0.34132940,0.4970
FAD,504862,33.55,0.34072715,0.4960
TED,496017,34.05,0.33975098,0.4934
GIN,509808,33.04,0.33875392,0.4883
TID,498808,33.75,0.33862811,0.4927
AMU,521759,32.23,0.33822746,0.4897
WIZ,410988,40.91,0.33819854,0.5241
EDH,450389,37.25,0.33746744,0.5077
TOR,449204,37.14,0.33560082,0.4933
KIF,472658,35.30,0.33554858,0.5064
GOE,513154,32.50,0.33541408,0.4856
EAN,492848,33.82,0.33529595,0.4873
MIZ,355624,46.81,0.33481501,0.5407
WOP,492815,33.65,0.33359527,0.4933
AKA,461078,35.89,0.33285432,0.4982
DAE,472286,34.84,0.33092063,0.4930
EFS,327767,50.19,0.33090863,0.5381
BIO,554114,29.69,0.33088819,0.4817
HID,483185,33.95,0.32998252,0.4941
DIT,491134,33.35,0.32949631,0.4861
MEW,488556,33.49,0.32907992,0.4927
FIZ,385260,42.44,0.32887468,0.5349
DIV,608245,26.86,0.32857162,0.4720
INN,549215,29.65,0.32757671,0.4740
GOV,624409,26.00,0.32654920,0.4848
BID,488089,33.21,0.32600025,0.4933
ZHO,341884,47.38,0.32577978,0.5519
MOZ,334522,48.40,0.32566714,0.5448
EAU,789233,20.48,0.32514901,0.4380
OYEZ,349229,46.27,0.32498595,0.5296
LOR,484507,33.28,0.32430021,0.4881
REI,552041,29.18,0.32399554,0.4724
BOW,520864,30.90,0.32370132,0.4903
HAE,479663,33.50,0.32317476,0.4853
HEN,483119,33.25,0.32313906,0.4852
FAG,526742,30.47,0.32283128,0.4921
SHE,353495,45.33,0.32229997,0.5212
YOD,458791,34.92,0.32223158,0.4997
LIT,490728,32.51,0.32085855,0.4858
HIN,477566,33.38,0.32066518,0.4851
AWN,440044,36.19,0.32032702,0.4917
LID,485206,32.80,0.32006017,0.4925
LIN,525577,30.25,0.31982663,0.4820
YEW,447169,35.41,0.31848373,0.5052
AIN,480208,32.93,0.31808578,0.4881
TOW,484439,32.63,0.31794028,0.4877
JEU,492947,31.95,0.31681867,0.4891
WAI,580252,27.14,0.31670981,0.4638
BIT,480132,32.78,0.31659939,0.4856
BEN,481184,32.64,0.31588050,0.4841
OWT,444426,35.33,0.31580546,0.4863
FAN,474998,33.04,0.31569737,0.4876
FOH,475795,32.96,0.31541847,0.4981
CINQS,313575,49.83,0.31430694,0.5271
FOB,545033,28.63,0.31391337,0.4900
WEY,442759,35.25,0.31388978,0.5059
QUOD,432644,36.02,0.31348581,0.4903
OHM,471161,33.07,0.31337561,0.4949
DOE,459821,33.84,0.31300990,0.4888
CHI,430779,36.08,0.31264859,0.4857
QANAT,403677,38.46,0.31227160,0.4684
DIN,465886,33.29,0.31194441,0.4877
OSE,429109,36.14,0.31192293,0.4913
TIN,454371,34.04,0.31108981,0.4879
WAQF,412737,37.08,0.30781275,0.4967
AIT,464119,32.90,0.30716689,0.4869
OUT,481241,31.71,0.30692132,0.4879
FAY,444432,34.33,0.30686979,0.5052
JAK,372465,40.93,0.30661895,0.5233
FEU,588030,25.88,0.30613139,0.4661
BED,445696,34.03,0.30506222,0.4941
FAR,425398,35.65,0.30505128,0.4944
FIQH,393377,38.55,0.30498822,0.4954
YET,433581,34.97,0.30495375,0.4929
WOT,447916,33.72,0.30376140,0.4795
DEV,530027,28.43,0.30306500,0.4794
KYE,402655,37.32,0.30228752,0.4988
OOH,492735,30.49,0.30213479,0.4787
QUAI,416798,35.98,0.30164176,0.4709
JOBE,376536,39.79,0.30138020,0.5012
KOI,473391,31.62,0.30110467,0.4830
PER,412302,36.27,0.30074966,0.4944
AID,461542,32.35,0.30027716,0.4885
QUAG,416989,35.77,0.30003095,0.4896
YON,434483,34.13,0.29827485,0.4877
HIT,437142,33.92,0.29824382,0.4888
VID,547855,27.04,0.29798835,0.4737
FOE,529463,27.92,0.29729654,0.4768
TOD,434468,34.01,0.29721441,0.4906
TEN,428832,34.45,0.29711736,0.4869
AXED,366059,40.29,0.29666343,0.5040
JUN,452390,32.59,0.29655427,0.5017
BET,445497,33.05,0.29617264,0.4862
WOW,479507,30.66,0.29567104,0.4876
JIG,495772,29.65,0.29564620,0.4879
GOR,430835,34.11,0.29556874,0.4889
DIE,429851,34.16,0.29530682,0.4877
FAT,437574,33.53,0.29509341,0.4876
NOW,444393,32.94,0.29447479,0.4887
OWN,412720,35.45,0.29426862,0.4885
NUR,432306,33.83,0.29417614,0.4887
OOR,485766,30.02,0.29328256,0.4764
AAH,446019,32.66,0.29301229,0.4870
TAI,449412,32.26,0.29163974,0.4829
JUT,434105,33.20,0.28985144,0.4975
PAV,517171,27.83,0.28945196,0.4802
VOM,532968,26.92,0.28853642,0.4804
POI,487238,29.41,0.28824300,0.4702
FEY,417003,34.35,0.28814557,0.5029
REV,483486,29.59,0.28777175,0.4821
AWEE,455229,31.42,0.28769070,0.4670
TEL,422410,33.79,0.28705558,0.4867
HET,408431,34.91,0.28682437,0.4897
CHA,377710,37.67,0.28618679,0.4942
PIN,414546,34.26,0.28565212,0.4894
KID,404427,34.99,0.28466938,0.5001
TET,431362,32.74,0.28406787,0.4845
YEH,381937,36.74,0.28226871,0.5089
TAE,389722,35.99,0.28215457,0.4947
GOD,439498,31.86,0.28160073,0.4896
NOH,423271,33.04,0.28132107,0.4888
TIT,441927,31.64,0.28124126,0.4833
YEN,410290,34.08,0.28124094,0.4922
FAP,439297,31.82,0.28113188,0.4908
WOK,383203,36.44,0.28085129,0.5075
PEE,420530,33.16,0.28046529,0.4854
DOW,418888,33.28,0.28039489,0.4937
NAW,427765,32.54,0.27994392,0.4884
JETE,355967,39.10,0.27993259,0.4896
DAW,408144,33.94,0.27860212,0.4959
JIVE,400577,34.52,0.27809624,0.4814
NOD,408946,33.72,0.27732775,0.4890
LAR,412195,33.19,0.27521234,0.4855
FAQIR,372081,36.71,0.27475560,0.4674
OAF,508018,26.89,0.27473560,0.4684
TOY,403592,33.83,0.27459899,0.4946
JEFE,356939,38.23,0.27449874,0.5019
RAJ,385839,35.36,0.27442305,0.4865
DEN,398502,34.02,0.27264648,0.4898
YUG,427097,31.70,0.27231770,0.4917
FIX,334628,40.45,0.27227880,0.5208
PEA,403516,33.45,0.27150522,0.4881
KIT,394860,34.09,0.27074420,0.4873
VET,519298,25.86,0.27009872,0.4714
ING,421304,31.81,0.26958160,0.4867
YAR,370393,36.15,0.26934106,0.4941
MIX,313403,42.69,0.26909810,0.5249
DID,414155,32.24,0.26854650,0.4904
TON,384950,34.67,0.26840908,0.4900
VIN,549137,24.26,0.26797350,0.4689
IOS,315921,42.14,0.26776828,0.5126
BEL,413957,32.14,0.26758542,0.4872
YAD,376234,35.36,0.26756782,0.4993
QADIS,268744,49.40,0.26700449,0.5293
RYA,367028,36.14,0.26676663,0.4911
OES,331509,40.01,0.26676244,0.5100
DJIN,382862,34.63,0.26670061,0.4868
ZOEA,266028,49.58,0.26532131,0.5296
PIT,391752,33.64,0.26508350,0.4874
LUZ,337747,38.96,0.26469506,0.5170
DOR,364779,36.01,0.26417812,0.4943
JOEY,311385,42.08,0.26354085,0.5202
REM,374630,34.97,0.26349461,0.4918
WAB,431478,30.35,0.26337194,0.4872
WIT,453647,28.68,0.26166830,0.4752
UEY,519309,25.03,0.26139817,0.4609
UDO,488357,26.60,0.26125751,0.4699
EHS,256056,50.63,0.26074047,0.5401
FOP,431745,30.02,0.26069595,0.4916
VOR,500191,25.91,0.26066073,0.4765
AZON,341649,37.91,0.26053583,0.4905
QORMA,335638,38.57,0.26035732,0.4861
TALAQ,351053,36.75,0.25952505,0.4700
GOO,521210,24.72,0.25919611,0.4637
VEXT,371096,34.69,0.25893670,0.4890
THE,369496,34.70,0.25792268,0.4862
NOY,375492,34.12,0.25768103,0.4972
DEL,380295,33.68,0.25763915,0.4918
HOW,362823,35.24,0.25720331,0.4966
JIB,398467,32.07,0.25703805,0.4913
TAR,349131,36.60,0.25701991,0.4921
YAW,362373,35.26,0.25699215,0.5033
NOO,439707,29.03,0.25671370,0.4752
ELT,370517,34.40,0.25637031,0.4871
PIE,414913,30.68,0.25600806,0.4738
LOW,395071,32.19,0.25581978,0.4888
BOI,423400,29.98,0.25527540,0.4766
ERR,424734,29.88,0.25522825,0.4729
LOD,373792,33.90,0.25490854,0.4911
TAD,386130,32.79,0.25468719,0.4908
AAL,397492,31.83,0.25451493,0.4849
FOY,382768,33.02,0.25420685,0.5019
NUT,386962,32.62,0.25386661,0.4861
REO,417986,29.96,0.25188545,0.4835
TAW,381192,32.73,0.25091629,0.4857
TREZ,275066,45.31,0.25069641,0.5060
HAW,350092,35.59,0.25060143,0.4999
ZIP,277241,44.93,0.25051922,0.5284
GUV,541562,23.00,0.25051162,0.4799
GAW,432294,28.79,0.25030887,0.4786
PEH,351864,35.36,0.25026130,0.4980
NAV,460246,27.01,0.25008472,0.4763
POW,376252,33.04,0.25000509,0.4930
KIN,359942,34.51,0.24981709,0.4894
GON,381019,32.44,0.24864174,0.4849
VOE,482500,25.53,0.24773235,0.4688
PED,347090,35.42,0.24729568,0.4960
JAPE,299595,41.02,0.24720288,0.4975
HAJI,310825,39.53,0.24715698,0.4967
EDS,250654,48.92,0.24663752,0.5349
KAE,345778,35.37,0.24600713,0.4939
KOR,335919,36.40,0.24591354,0.4960
MEE,365669,33.43,0.24587784,0.4852
PEN,355906,34.33,0.24576737,0.4886
DOH,354328,34.46,0.24561159,0.4958
NAT,364634,33.49,0.24558796,0.4895
USE,340401,35.81,0.24518065,0.4931
OON,413736,29.44,0.24499627,0.4735
NON,418439,29.09,0.24486585,0.4759
ZEAL,286157,42.45,0.24432046,0.5074
QOPH,321993,37.65,0.24387183,0.4959
WIN,420324,28.80,0.24350762,0.4773
ZEIN,247670,48.86,0.24342496,0.5124
ZITE,262920,45.77,0.24206657,0.5002
YAG,365598,32.85,0.24155588,0.4932
IXIA,373778,32.10,0.24132294,0.4700
DEI,409568,29.28,0.24118808,0.4687
MOW,368581,32.52,0.24109300,0.4927
KEF,334322,35.81,0.24080234,0.5101
KOW,337862,35.43,0.24074117,0.5071
DOY,350330,34.10,0.24027517,0.5001
DUH,377166,31.67,0.24023758,0.4886
NIQAB,335129,35.64,0.24020725,0.4641
ETH,323753,36.87,0.24008321,0.5048
TOO,410880,29.00,0.23963925,0.4777
BOP,399749,29.78,0.23941846,0.4844
VAG,461012,25.82,0.23939994,0.4801
DAG,379773,31.25,0.23869765,0.4888
DITZ,281364,42.12,0.23837301,0.5088
GUR,356420,33.12,0.23742567,0.4889
